otu	domain	phylum	order	class	family	genus	quality
OTU_151	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|93
OTU_152	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	unclassified	|100
OTU_153	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|96
OTU_154	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|94
OTU_155	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|96
OTU_156	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sneathia	|100
OTU_157	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|86
OTU_158	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	|100
OTU_159	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	|100
OTU_160	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera	|100
OTU_161	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Sporobacter	|93
OTU_162	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	unclassified	|100
OTU_164	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|75
OTU_165	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_166	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	unclassified	|100
OTU_167	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Morganella	|100
OTU_168	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Sutterella	|100
OTU_169	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	|100
OTU_170	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|100
OTU_171	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Sutterella	|98
OTU_172	Bacteria	Tenericutes	Mollicutes	RF9	unclassified	unclassified	|100
OTU_173	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	|100
OTU_174	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	|100
OTU_175	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Butyricimonas	|100
OTU_176	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|80
OTU_177	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	|100
OTU_178	Bacteria	Firmicutes	Clostridia	Clostridiales	Defluviitaleaceae	Incertae_Sedis	|85
OTU_179	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|85
OTU_180	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	|100
OTU_181	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	|100
OTU_182	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|70
OTU_183	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	|100
OTU_184	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|72
OTU_185	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|90
OTU_186	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	|100
OTU_187	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_188	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|73
OTU_189	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	|100
OTU_191	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_192	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	|100
OTU_193	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Pyramidobacter	|100
OTU_194	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	|100
OTU_195	Bacteria	Tenericutes	Mollicutes	RF9	unclassified	unclassified	|100
OTU_196	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Coprobacter	|100
OTU_197	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Sutterella	|100
OTU_198	Bacteria	Tenericutes	Mollicutes	RF9	unclassified	unclassified	|100
