gene	status
FOXK1	candidate
FOXK2	candidate
FOXM1	candidate
FOXP2	candidate
FOXQ1	candidate
FOXR2	candidate
FPR1	candidate
FRA10AC1	candidate
FREM2	candidate
FRG1	candidate
FRG2B	candidate
FRMD7	candidate
FRMD8	candidate
FRMPD2	candidate
FRMPD4	candidate
FSCB	candidate
FSHR	candidate
FSIP1	candidate
FSIP2	candidate
FSTL5	candidate
FTCD	candidate
FTH1	candidate
FTO	candidate
FUBP3	candidate
FXR1	candidate
FXYD3	candidate
FYB2	candidate
FYN	candidate
FZD1	candidate
FZD3	candidate
G2E3	candidate
G3BP1	candidate
G3BP2	candidate
G6PC	candidate
GAB3	candidate
GABRA1	candidate
GABRA2	candidate
GABRA6	candidate
GABRB2	candidate
GABRG1	candidate
GAL3ST1	candidate
GALNS	candidate
GALNT13	candidate
GALNTL5	candidate
GALNTL6	candidate
GATA4	candidate
GATA6	candidate
GATAD1	candidate
GATM	candidate
GBE1	candidate
GCC2	candidate
GCSAML	candidate
GDF5	candidate
GFRA1	candidate
GFRAL	candidate
GGA3	candidate
GGCT	candidate
GIGYF2	candidate
GIMAP4	candidate
GINS1	candidate
GLI3	candidate
GLIPR1L2	candidate
GLIPR2	candidate
GLIS2	candidate
GLRA3	candidate
GLS2	candidate
GLT8D2	candidate
GLYAT	candidate
GLYR1	candidate
GMFB	candidate
GML	candidate
GNA12	candidate
GNA13	candidate
GNA14	candidate
GNA15	candidate
GNAI1	candidate
GNAI2	candidate
GNAT1	candidate
GNB1	candidate
GNG2	candidate
GNG3	candidate
GNG7	candidate
GNPTAB	candidate
GOLGA2	candidate
GOLGA6L6	candidate
GOLGB1	candidate
GOPC	candidate
GORASP1	candidate
GOT1	candidate
GPAM	candidate
GPAT4	candidate
GPATCH4	candidate
GPATCH8	candidate
GPC6	candidate
GPR107	candidate
GPR141	candidate
GPR174	candidate
GPR183	candidate
GPR32	candidate
GPR50	candidate
GPRIN1	candidate
GPRIN2	candidate
GPS1	candidate
GPS2	candidate
GPX1	candidate
GPX5	candidate
GRAMD1B	candidate
GRB2	candidate
GRHL2	candidate
GRHPR	candidate
GRIA2	candidate
GRIA3	candidate
GRID1	candidate
GRIK2	candidate
GRIK3	candidate
GRIK5	candidate
GRIN1	candidate
GRIN2D	candidate
GRM1	candidate
GRM5	candidate
GRM8	candidate
GRSF1	candidate
GSDMA	candidate
GSDMC	candidate
GSDME	candidate
GSK3A	candidate
GSTA4	candidate
GSTM5	candidate
GTF2B	candidate
GTF2I	candidate
GUCY1A2	candidate
