otu	domain	phylum	order	class	family	genus	quality
OTU_66	OTU_66	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	|100
OTU_67	OTU_67	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|97
OTU_68	OTU_68	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	|100
OTU_69	OTU_69	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|89
OTU_70	OTU_70	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	|100
OTU_71	OTU_71	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	|97
OTU_72	OTU_72	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	|98
OTU_73	OTU_73	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Odoribacter	|100
OTU_74	OTU_74	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|79
OTU_75	OTU_75	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Incertae_Sedis	|100
OTU_76	OTU_76	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|100
OTU_77	OTU_77	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|100
OTU_78	OTU_78	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|100
OTU_79	OTU_79	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera	|100
OTU_80	OTU_80	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|96
OTU_81	OTU_81	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flavonifractor	|100
OTU_82	OTU_82	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|97
OTU_83	OTU_83	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	|100
OTU_84	OTU_84	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	|100
OTU_85	OTU_85	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	|93
OTU_86	OTU_86	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|97
OTU_87	OTU_87	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|88
OTU_88	OTU_88	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Catenibacterium	|100
OTU_89	OTU_89	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Incertae_Sedis	|100
OTU_90	OTU_90	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	|99
OTU_91	OTU_91	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Eggerthella	|100
OTU_92	OTU_92	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	|100
OTU_93	OTU_93	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	unclassified	|81
OTU_94	OTU_94	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|73
OTU_95	OTU_95	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	|100
OTU_96	OTU_96	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	|100
OTU_97	OTU_97	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_98	OTU_98	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|100
OTU_99	OTU_99	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	|89
OTU_100	OTU_100	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|82
OTU_101	OTU_101	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_102	OTU_102	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Phascolarctobacterium	|100
OTU_103	OTU_103	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	|100
