Gene stable ID version	Gene stable ID	HGNC symbol	HGNC ID	Gene name	Gene description
ENSG00000164211.14	ENSG00000164211	STARD4	HGNC:18058	STARD4	StAR related lipid transfer domain containing 4 
ENSG00000164219.10	ENSG00000164219	PGGT1B	HGNC:8895	PGGT1B	protein geranylgeranyltransferase type I subunit beta 
ENSG00000164220.7	ENSG00000164220	F2RL2	HGNC:3539	F2RL2	coagulation factor II thrombin receptor like 2 
ENSG00000164221.14	ENSG00000164221	CCDC112	HGNC:28599	CCDC112	coiled-coil domain containing 112 
ENSG00000164236.12	ENSG00000164236	ANKRD33B	HGNC:35240	ANKRD33B	ankyrin repeat domain 33B 
ENSG00000164237.10	ENSG00000164237	CMBL	HGNC:25090	CMBL	carboxymethylenebutenolidase homolog 
ENSG00000164241.14	ENSG00000164241	C5orf63	HGNC:40051	C5orf63	chromosome 5 open reading frame 63 
ENSG00000164244.22	ENSG00000164244	PRRC1	HGNC:28164	PRRC1	proline rich coiled-coil 1 
ENSG00000164251.5	ENSG00000164251	F2RL1	HGNC:3538	F2RL1	F2R like trypsin receptor 1 
ENSG00000164252.14	ENSG00000164252	AGGF1	HGNC:24684	AGGF1	angiogenic factor with G-patch and FHA domains 1 
ENSG00000164253.15	ENSG00000164253	WDR41	HGNC:25601	WDR41	WD repeat domain 41 
ENSG00000164258.13	ENSG00000164258	NDUFS4	HGNC:7711	NDUFS4	NADH:ubiquinone oxidoreductase subunit S4 
ENSG00000164266.11	ENSG00000164266	SPINK1	HGNC:11244	SPINK1	serine peptidase inhibitor Kazal type 1 
ENSG00000164283.13	ENSG00000164283	ESM1	HGNC:3466	ESM1	endothelial cell specific molecule 1 
ENSG00000164284.16	ENSG00000164284	GRPEL2	HGNC:21060	GRPEL2	"GrpE like 2, mitochondrial "
ENSG00000164291.18	ENSG00000164291	ARSK	HGNC:25239	ARSK	arylsulfatase family member K 
ENSG00000164292.14	ENSG00000164292	RHOBTB3	HGNC:18757	RHOBTB3	Rho related BTB domain containing 3 
ENSG00000164294.15	ENSG00000164294	GPX8	HGNC:33100	GPX8	glutathione peroxidase 8 (putative) 
ENSG00000164296.8	ENSG00000164296	TIGD6	HGNC:18332	TIGD6	tigger transposable element derived 6 
ENSG00000164300.19	ENSG00000164300	SERINC5	HGNC:18825	SERINC5	serine incorporator 5 
ENSG00000164303.12	ENSG00000164303	ENPP6	HGNC:23409	ENPP6	ectonucleotide pyrophosphatase/phosphodiesterase 6 
ENSG00000164305.21	ENSG00000164305	CASP3	HGNC:1504	CASP3	caspase 3 
ENSG00000164306.12	ENSG00000164306	PRIMPOL	HGNC:26575	PRIMPOL	primase and DNA directed polymerase 
ENSG00000164307.14	ENSG00000164307	ERAP1	HGNC:18173	ERAP1	endoplasmic reticulum aminopeptidase 1 
ENSG00000164308.19	ENSG00000164308	ERAP2	HGNC:29499	ERAP2	endoplasmic reticulum aminopeptidase 2 
ENSG00000164309.16	ENSG00000164309	CMYA5	HGNC:14305	CMYA5	cardiomyopathy associated 5 
ENSG00000164318.18	ENSG00000164318	EGFLAM	HGNC:26810	EGFLAM	"EGF like, fibronectin type III and laminin G domains "
ENSG00000164323.16	ENSG00000164323	CFAP97	HGNC:29276	CFAP97	cilia and flagella associated protein 97 
ENSG00000164327.15	ENSG00000164327	RICTOR	HGNC:28611	RICTOR	RPTOR independent companion of MTOR complex 2 
ENSG00000164329.16	ENSG00000164329	TENT2	HGNC:26776	TENT2	terminal nucleotidyltransferase 2 
ENSG00000164330.19	ENSG00000164330	EBF1	HGNC:3126	EBF1	EBF transcription factor 1 
ENSG00000164331.11	ENSG00000164331	ANKRA2	HGNC:13208	ANKRA2	ankyrin repeat family A member 2 
ENSG00000164332.9	ENSG00000164332	UBLCP1	HGNC:28110	UBLCP1	ubiquitin like domain containing CTD phosphatase 1 
ENSG00000164338.11	ENSG00000164338	UTP15	HGNC:25758	UTP15	UTP15 small subunit processome component 
ENSG00000164342.15	ENSG00000164342	TLR3	HGNC:11849	TLR3	toll like receptor 3 
ENSG00000164344.18	ENSG00000164344	KLKB1	HGNC:6371	KLKB1	kallikrein B1 
ENSG00000164346.11	ENSG00000164346	NSA2	HGNC:30728	NSA2	NSA2 ribosome biogenesis factor 
ENSG00000164347.19	ENSG00000164347	GFM2	HGNC:29682	GFM2	GTP dependent ribosome recycling factor mitochondrial 2 
ENSG00000164366.5	ENSG00000164366	CCDC127	HGNC:30520	CCDC127	coiled-coil domain containing 127 
ENSG00000164379.7	ENSG00000164379	FOXQ1	HGNC:20951	FOXQ1	forkhead box Q1 
ENSG00000164385.12	ENSG00000164385	LINC01600	HGNC:21600	LINC01600	long intergenic non-protein coding RNA 1600 
ENSG00000164398.16	ENSG00000164398	ACSL6	HGNC:16496	ACSL6	acyl-CoA synthetase long chain family member 6 
ENSG00000164402.15	ENSG00000164402	SEPTIN8	HGNC:16511	SEPTIN8	septin 8 
ENSG00000164403.16	ENSG00000164403	SHROOM1	HGNC:24084	SHROOM1	shroom family member 1 
ENSG00000164404.9	ENSG00000164404	GDF9	HGNC:4224	GDF9	growth differentiation factor 9 
ENSG00000164405.12	ENSG00000164405	UQCRQ	HGNC:29594	UQCRQ	ubiquinol-cytochrome c reductase complex III subunit VII 
ENSG00000164406.9	ENSG00000164406	LEAP2	HGNC:29571	LEAP2	liver enriched antimicrobial peptide 2 
ENSG00000164414.20	ENSG00000164414	SLC35A1	HGNC:11021	SLC35A1	solute carrier family 35 member A1 
ENSG00000164418.22	ENSG00000164418	GRIK2	HGNC:4580	GRIK2	glutamate ionotropic receptor kainate type subunit 2 
ENSG00000164430.18	ENSG00000164430	CGAS	HGNC:21367	CGAS	cyclic GMP-AMP synthase 
ENSG00000164434.12	ENSG00000164434	FABP7	HGNC:3562	FABP7	fatty acid binding protein 7 
ENSG00000164440.16	ENSG00000164440	TXLNB	HGNC:21617	TXLNB	taxilin beta 
ENSG00000164442.12	ENSG00000164442	CITED2	HGNC:1987	CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2 
ENSG00000164463.13	ENSG00000164463	CREBRF	HGNC:24050	CREBRF	CREB3 regulatory factor 
ENSG00000164465.20	ENSG00000164465	DCBLD1	HGNC:21479	DCBLD1	"discoidin, CUB and LCCL domain containing 1 "
ENSG00000164466.14	ENSG00000164466	SFXN1	HGNC:16085	SFXN1	sideroflexin 1 
ENSG00000164483.17	ENSG00000164483	SAMD3	HGNC:21574	SAMD3	sterile alpha motif domain containing 3 
ENSG00000164484.13	ENSG00000164484	TMEM200A	HGNC:21075	TMEM200A	transmembrane protein 200A 
ENSG00000164485.15	ENSG00000164485	IL22RA2	HGNC:14901	IL22RA2	interleukin 22 receptor subunit alpha 2 
ENSG00000164488.12	ENSG00000164488	DACT2	HGNC:21231	DACT2	dishevelled binding antagonist of beta catenin 2 
