cell	group	reads
R3302	CytotoxicT	2033
R3303	CytotoxicT	2045
R3304	CytotoxicT	2624
R3305	CytotoxicT	2895
R3307	CytotoxicT	1939
R3310	CytotoxicT	2006
R3316	CytotoxicT	2777
R3320	CytotoxicT	2609
R3325	CytotoxicT	1705
R3329	CytotoxicT	2812
R3333	CytotoxicT	2223
R3338	CytotoxicT	3026
R3356	CytotoxicT	1794
R3359	CytotoxicT	1977
R3369	CytotoxicT	1837
R3370	CytotoxicT	2503
R3373	CytotoxicT	2341
R3375	CytotoxicT	2265
R3388	CytotoxicT	2928
R3394	CytotoxicT	1916
R3399	CytotoxicT	2275
R3401	CytotoxicT	1879
R3404	CytotoxicT	2799
R3418	CytotoxicT	2185
R3422	CytotoxicT	2315
R3424	CytotoxicT	2397
R3426	CytotoxicT	1771
R3427	CytotoxicT	1717
R3429	CytotoxicT	1846
R3430	CytotoxicT	3395
R3431	CytotoxicT	2423
R3434	CytotoxicT	1748
R3435	CytotoxicT	2887
R3436	CytotoxicT	1893
R3437	CytotoxicT	2564
R3449	CytotoxicT	2051
R3452	CytotoxicT	2363
R3454	CytotoxicT	1702
R3459	CytotoxicT	2178
R3461	CytotoxicT	1758
R3472	CytotoxicT	1682
R3473	CytotoxicT	2077
R3474	CytotoxicT	1849
R3479	CytotoxicT	1916
R3484	CytotoxicT	2563
R3485	CytotoxicT	2730
R3488	CytotoxicT	1944
R3489	CytotoxicT	1722
R3493	CytotoxicT	2151
R3494	CytotoxicT	1801
R3498	CytotoxicT	1784
R3505	CytotoxicT	2032
R3510	CytotoxicT	1776
R3516	CytotoxicT	1779
R3518	CytotoxicT	1831
R3519	CytotoxicT	1733
R3523	CytotoxicT	1750
R3528	CytotoxicT	2171
R3531	CytotoxicT	1860
R3533	CytotoxicT	2210
R3534	CytotoxicT	2602
R3537	CytotoxicT	2668
R3539	CytotoxicT	1843
R3540	CytotoxicT	2107
R3541	CytotoxicT	2145
R3542	CytotoxicT	2199
R3543	CytotoxicT	1942
R3544	CytotoxicT	2791
R3545	CytotoxicT	1913
R3555	CytotoxicT	1720
R3559	CytotoxicT	1813
R3565	CytotoxicT	2817
R3571	CytotoxicT	1869
R3579	CytotoxicT	2058
R3586	CytotoxicT	2860
R3589	CytotoxicT	2560
R3593	CytotoxicT	1954
R3605	CytotoxicT	1910
R3611	CytotoxicT	1918
R3621	CytotoxicT	1693
R3623	CytotoxicT	1878
R3632	CytotoxicT	1980
R3639	CytotoxicT	1731
R3647	CytotoxicT	1747
R3648	CytotoxicT	2302
R3653	CytotoxicT	1673
R3657	CytotoxicT	1684
R3669	CytotoxicT	2280
R3670	CytotoxicT	1729
R3671	CytotoxicT	1912
R3672	CytotoxicT	2184
R3678	CytotoxicT	2205
R3679	CytotoxicT	2244
R3680	CytotoxicT	1923
R3682	CytotoxicT	1766
R3686	CytotoxicT	2762
R3687	CytotoxicT	3031
R3697	CytotoxicT	1822
R3703	CytotoxicT	2574
R3704	CytotoxicT	1971
R3733	CytotoxicT	2937
R3735	CytotoxicT	1874
R3737	CytotoxicT	1718
R3739	CytotoxicT	2269
R3741	CytotoxicT	1718
R3744	CytotoxicT	2014
R3745	CytotoxicT	1665
R3746	CytotoxicT	2276
R3749	CytotoxicT	1712
R3753	CytotoxicT	2077
R3758	CytotoxicT	1957
R3773	CytotoxicT	1799
R3774	CytotoxicT	2447
R3779	CytotoxicT	2436
R3782	CytotoxicT	2018
R3783	CytotoxicT	1785
R3786	CytotoxicT	2991
R3789	CytotoxicT	1747
R3790	CytotoxicT	1943
R3792	CytotoxicT	1724
R3794	CytotoxicT	2113
R3805	CytotoxicT	2344
R3808	CytotoxicT	1811
R3812	CytotoxicT	2962
R3816	CytotoxicT	2895
R3820	CytotoxicT	2213
R3823	CytotoxicT	1831
R3827	CytotoxicT	1873
R3831	CytotoxicT	1854
R3833	CytotoxicT	1869
R3841	CytotoxicT	1793
R3842	CytotoxicT	1722
R3851	CytotoxicT	1949
R3853	CytotoxicT	1762
R3856	CytotoxicT	1770
R3857	CytotoxicT	2034
R3862	CytotoxicT	2410
R3865	CytotoxicT	2246
R3867	CytotoxicT	1931
R3870	CytotoxicT	1955
R3871	CytotoxicT	1860
R3875	CytotoxicT	3720
