ko.id	ko.desc	ko.sym	ko.ec	path.id	path.desc	path.type	b.id	b.desc	a.id	a.desc
K26605	branched chain amino acid efflux pump	azlC, brnF		ko02000	Transporters	KEGG_BRITE	9183	Protein families: signaling and cellular processes	9180	Brite Hierarchies
K26606	branched chain amino acid efflux pump	azlD, brnE		ko02000	Transporters	KEGG_BRITE	9183	Protein families: signaling and cellular processes	9180	Brite Hierarchies
K26607	putative L-cysteine desulfidase	cyuA		99985	Amino acid metabolism	notIncPathBrite	9191	Unclassified: metabolism	9190	Not Included in Pathway or Brite
K26608	transmembrane protein 120	TMEM120		ko02000	Transporters	KEGG_BRITE	9183	Protein families: signaling and cellular processes	9180	Brite Hierarchies
K26609	LacI family transcriptional regulator, galacturonate utilization repressor	exuR		ko03000	Transcription factors	KEGG_BRITE	9182	Protein families: genetic information processing	9180	Brite Hierarchies
K26610	vascular endothelial zinc finger 1	VEZF1		ko03000	Transcription factors	KEGG_BRITE	9182	Protein families: genetic information processing	9180	Brite Hierarchies
K26611	Ackermannviridae DNA polymerase	pol		99979	Viral proteins	notIncPathBrite	9192	Unclassified: genetic information processing	9190	Not Included in Pathway or Brite
K26612	Ackermannviridae DNA polymerase	pol		99979	Viral proteins	notIncPathBrite	9192	Unclassified: genetic information processing	9190	Not Included in Pathway or Brite
K26613	Kuttervirus RNA polymerase ADP-ribosylase	K26613		99979	Viral proteins	notIncPathBrite	9192	Unclassified: genetic information processing	9190	Not Included in Pathway or Brite
K26614	Cyvirus DNA polymerase catalytic subunit	K26614		99979	Viral proteins	notIncPathBrite	9192	Unclassified: genetic information processing	9190	Not Included in Pathway or Brite
K26615	Alphaflexiviridae RNA-directed RNA polymerase	RdRp		99979	Viral proteins	notIncPathBrite	9192	Unclassified: genetic information processing	9190	Not Included in Pathway or Brite
K26616	Alternavirus RNA-directed RNA polymerase	RdRp		99979	Viral proteins	notIncPathBrite	9192	Unclassified: genetic information processing	9190	Not Included in Pathway or Brite
K26617	Acidianus bottle-shaped virus DNA polymerase	pol		99979	Viral proteins	notIncPathBrite	9192	Unclassified: genetic information processing	9190	Not Included in Pathway or Brite
K26618	Hartmanivirus RNA-directed RNA polymerase	RdRp		99979	Viral proteins	notIncPathBrite	9192	Unclassified: genetic information processing	9190	Not Included in Pathway or Brite
K26619	Peropuvirus RNA-directed RNA polymerase	RdRp		99979	Viral proteins	notIncPathBrite	9192	Unclassified: genetic information processing	9190	Not Included in Pathway or Brite
K26620	Ascovirus DNA-directed RNA polymerase	K26620		99979	Viral proteins	notIncPathBrite	9192	Unclassified: genetic information processing	9190	Not Included in Pathway or Brite
K26621	Ascovirus virescens ascovirus DNA-directed RNA polymerase b subunit	K26621		99979	Viral proteins	notIncPathBrite	9192	Unclassified: genetic information processing	9190	Not Included in Pathway or Brite
K26622	Ascovirus DNA-directed RNA polymerase II	K26622		99979	Viral proteins	notIncPathBrite	9192	Unclassified: genetic information processing	9190	Not Included in Pathway or Brite
K26623	Autographiviridae DNA polymerase	pol		99979	Viral proteins	notIncPathBrite	9192	Unclassified: genetic information processing	9190	Not Included in Pathway or Brite
K26624	Autographiviridae DNA polymerase	pol		99979	Viral proteins	notIncPathBrite	9192	Unclassified: genetic information processing	9190	Not Included in Pathway or Brite
K26625	Phikmvvirus DNA polymerase	pol		99979	Viral proteins	notIncPathBrite	9192	Unclassified: genetic information processing	9190	Not Included in Pathway or Brite
K26626	Pseudomonas phage RNA polymerase	K26626		99979	Viral proteins	notIncPathBrite	9192	Unclassified: genetic information processing	9190	Not Included in Pathway or Brite
K26627	Vibrio phage DNA polymerase	pol		99979	Viral proteins	notIncPathBrite	9192	Unclassified: genetic information processing	9190	Not Included in Pathway or Brite
K26628	Betaflexiviridae RNA replication polyprotein	ORF1		ko03200	Viral proteins	KEGG_BRITE	9185	Viral protein families	9180	Brite Hierarchies
K26629	Ackermannviridae thymidylate synthase	K26629		99979	Viral proteins	notIncPathBrite	9192	Unclassified: genetic information processing	9190	Not Included in Pathway or Brite
K26630	Ilarvirus RNA-directed RNA polymerase	RdRp		99979	Viral proteins	notIncPathBrite	9192	Unclassified: genetic information processing	9190	Not Included in Pathway or Brite
K26631	Casjensviridae DNA polymerase	pol		99979	Viral proteins	notIncPathBrite	9192	Unclassified: genetic information processing	9190	Not Included in Pathway or Brite
