entity	from	gene	desc	ncg.bst	diff.btw	diff.win	qval0.0	qval0.1	qval0.2	qval0.3	qval0.4	qval0.5
ENSG00000227507	0.3	LTB	lymphotoxin beta [Source:HGNC Symbol;Acc:HGNC:6711]	n/a	1.15946462226499	2.54649022475922	0.000314131970642937	0.00123558496371027	0.0136984024756152	0.0889325507163813	0.153828376006381	0.198506082446984
ENSG00000227619	0.3		novel transcript	n/a	0.933523798260538	2.47599898874908	0.00289120171060561	0.00534895705052269	0.0245059154966775	0.111841279970623	0.172121540742658	0.209309832823989
ENSG00000227630	0.3	LINC01132	long intergenic non-protein coding RNA 1132 [Source:HGNC Symbol;Acc:HGNC:49444]	n/a	0.824922088316855	1.52648896692689	1.24488623702902e-08	3.08842269561839e-06	0.00140711222408719	0.0621146081483558	0.122394570620187	0.159596088926891
ENSG00000227896	0.3	WAPL-DT	WAPL divergent transcript [Source:HGNC Symbol;Acc:HGNC:55805]	n/a	0.805328629166365	1.21832300530155	1.64092142039259e-08	8.92570493803764e-06	0.00370682757366964	0.0759927393184125	0.136947652734885	0.187719700502843
ENSG00000227963	0.3	RBM15-AS1	RBM15 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:53636]	n/a	0.713681735297085	1.18044351655966	2.18517373755391e-06	5.02557239933012e-05	0.0115802479612193	0.0892470693102812	0.144334869888208	0.193633412699408
ENSG00000227986	0.3	TRIM60P18	tripartite motif containing 60 pseudogene 18 [Source:HGNC Symbol;Acc:HGNC:38490]	n/a	0.644019818853861	1.13550844164118	1.81479573582456e-07	0.000110739189588973	0.033075105151342	0.125081949516669	0.186896725577683	0.224988664546521
ENSG00000228021	0.3		novel transcript	n/a	0.714771209237595	1.65489942937762	2.49067143368183e-05	0.000643239419339549	0.024351419650615	0.106926310637331	0.152183585072712	0.201610314461123
ENSG00000228058	0.3	LINC01736	long intergenic non-protein coding RNA 1736 [Source:HGNC Symbol;Acc:HGNC:52524]	n/a	-0.9774598834214	2.67036961507297	0.00320210719192958	0.00991378231174321	0.0375762200775028	0.0915637250125606	0.143905179986229	0.207683872035391
ENSG00000228113	0.3	NA	NA	n/a	-0.917125274221631	2.55220686752496	0.00248386800586049	0.0139518649376521	0.0490435784540768	0.11957843545775	0.183146012661943	0.241358628231747
ENSG00000228175	0.3	GEMIN8P4	gem nuclear organelle associated protein 8 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:37979]	n/a	0.730541220391816	1.14634293308765	1.24003883418654e-10	6.00587186591369e-07	0.00181697881485113	0.0813641887345871	0.142385371169148	0.189367891086807
ENSG00000228232	0.3	GAPDHP1	glyceraldehyde-3-phosphate dehydrogenase pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:4159]	n/a	1.08235794285623	2.9236266071351	3.24147997023007e-05	0.000232381690485986	0.00499100451249199	0.0594756507624869	0.121497042268876	0.165793704885063
ENSG00000228265	0.3	NA	NA	n/a	0.7327826265758	1.03760961439664	1.60526325772625e-12	2.93706169591593e-08	0.000442583739714912	0.0685259902816809	0.126897390700026	0.169045657115306
ENSG00000228278	0.3	ORM2	orosomucoid 2 [Source:HGNC Symbol;Acc:HGNC:8499]	n/a	1.32678683826445	4.3192712631131	0.0058395804945774	0.00884341663373312	0.0222369832910028	0.0605472459971234	0.127779985983982	0.171372556830879
ENSG00000228300	0.3	FAM174C	family with sequence similarity 174 member C [Source:HGNC Symbol;Acc:HGNC:26073]	n/a	0.88513954639939	0.997953752288025	2.1255646024602e-15	5.58126297655224e-10	6.18245407035509e-05	0.0538387927617882	0.113462858988778	0.15633448262411
